x,y,raw,cumulative,logistic
-72.44295987835125,19.301268807709995,4.48086E-5,3.727675832,0.265334854
-72.55129000919963,18.267966021156074,1.17149E-4,53.372859544,0.485660182
-73.176271533325,18.334630717062776,6.43204E-5,17.910813339,0.341425957
-74.40123532061068,18.476293195864525,1.25227E-4,57.643047408,0.502325914
-72.83461496680313,20.084578984613774,3.88298E-4,90.147697492,0.757854296
-74.37623605964568,18.57629023972458,1.5288E-4,71.038113536,0.552018398
-72.31796357352617,19.034610024083175,7.80832E-5,26.435368607,0.386263029
-72.02630552893433,19.317934981686673,7.86183E-5,26.569019769,0.387883528
-72.79294953186144,18.267966021156074,1.59568E-4,72.181685749,0.56258271
-72.10130331182938,19.209604850838275,7.93375E-5,27.012767241,0.390047703
-74.20124123289057,18.59295641370126,1.51441E-4,69.176983464,0.549678307
-72.90127966270984,20.076245897625437,3.88298E-4,90.147697492,0.757854296
-72.21796652966611,18.426294673934496,1.49168E-4,68.574509981,0.54593303
-74.32623753771564,18.57629023972458,1.39886E-4,65.663754051,0.529965842
-72.87628040174482,20.076245897625437,3.88298E-4,90.147697492,0.757854296
-73.7262552745553,18.36796306501613,4.42359E-5,3.220739353,0.26283474
-73.64292440467192,18.45129393489951,4.6096E-5,4.091236957,0.270892985
-72.8512811407798,20.076245897625437,3.88298E-4,90.147697492,0.757854296
-72.18463418171275,18.334630717062776,5.91439E-5,14.10385897,0.322818529
-72.83461496680313,20.076245897625437,3.88298E-4,90.147697492,0.757854296
-71.94297465905095,18.917946806246444,5.35053E-5,11.268725065,0.301315416
-72.81794879282646,20.076245897625437,3.88298E-4,90.147697492,0.757854296
-72.36796209545619,18.32629763007444,1.65157E-4,72.966110302,0.571034393
-72.52629074823462,18.80128358840971,1.04935E-4,46.837997314,0.458226291
-72.55129000919963,18.40962849995782,1.30734E-4,60.344563076,0.513083159
-72.7846164448731,20.076245897625437,3.88298E-4,90.147697492,0.757854296
-72.24296579063113,18.742951979491345,2.01611E-4,81.161441493,0.619049486
-71.75964674530752,18.10130428138931,9.05174E-5,37.84308804,0.421826403
-72.02630552893433,18.859615197328075,5.85921E-5,13.574151591,0.320772935
-72.92627892367484,20.067912810637097,3.88298E-4,90.147697492,0.757854296
-71.88464305013258,18.18463515127269,4.82809E-5,4.88795821,0.280136262
