x,y,raw,cumulative,logistic
-72.88636342577033,19.92006495103142,3.3557E-3,100,0.5
-72.87802455776256,19.92006495103142,3.3557E-3,100,0.5
-72.20257624913351,19.744948722868337,3.3557E-3,100,0.5
-71.76895511272969,19.686576646813975,3.3557E-3,100,0.5
-71.78563284874521,19.678237778806206,3.3557E-3,100,0.5
-71.77729398073745,19.678237778806206,3.3557E-3,100,0.5
-71.78563284874521,19.66989891079844,3.3557E-3,100,0.5
-71.77729398073745,19.66989891079844,3.3557E-3,100,0.5
-71.78563284874521,19.661560042790676,3.3557E-3,100,0.5
-73.01978531389459,19.62820457075961,3.3557E-3,100,0.5
-73.01144644588682,19.62820457075961,3.3557E-3,100,0.5
-73.03646304991011,19.619865702751845,3.3557E-3,100,0.5
-73.02812418190234,19.619865702751845,3.3557E-3,100,0.5
-73.01978531389459,19.619865702751845,3.3557E-3,100,0.5
-73.01144644588682,19.619865702751845,3.3557E-3,100,0.5
-73.00310757787905,19.619865702751845,3.3557E-3,100,0.5
-72.99476870987128,19.619865702751845,3.3557E-3,100,0.5
-73.00310757787905,19.61152683474408,3.3557E-3,100,0.5
-72.66121398956065,19.40305513454993,3.3557E-3,100,0.5
-72.66121398956065,19.394716266542165,3.3557E-3,100,0.5
-72.65287512155288,19.394716266542165,3.3557E-3,100,0.5
-72.64453625354511,19.394716266542165,3.3557E-3,100,0.5
-72.66121398956065,19.386377398534396,3.3557E-3,100,0.5
-72.65287512155288,19.386377398534396,3.3557E-3,100,0.5
-72.64453625354511,19.386377398534396,3.3557E-3,100,0.5
-72.63619738553734,19.386377398534396,3.3557E-3,100,0.5
-72.67789172557617,19.37803853052663,3.3557E-3,100,0.5
-72.6695528575684,19.37803853052663,3.3557E-3,100,0.5
-72.66121398956065,19.37803853052663,3.3557E-3,100,0.5
-72.65287512155288,19.37803853052663,3.3557E-3,100,0.5
-72.64453625354511,19.37803853052663,3.3557E-3,100,0.5
-72.63619738553734,19.37803853052663,3.3557E-3,100,0.5
-72.62785851752957,19.37803853052663,3.3557E-3,100,0.5
-72.70290832959948,19.369699662518865,3.3557E-3,100,0.5
-72.68623059358394,19.369699662518865,3.3557E-3,100,0.5
-72.67789172557617,19.369699662518865,3.3557E-3,100,0.5
-72.6695528575684,19.369699662518865,3.3557E-3,100,0.5
-72.66121398956065,19.369699662518865,3.3557E-3,100,0.5
-72.65287512155288,19.369699662518865,3.3557E-3,100,0.5
-72.64453625354511,19.369699662518865,3.3557E-3,100,0.5
-72.63619738553734,19.369699662518865,3.3557E-3,100,0.5
-72.62785851752957,19.369699662518865,3.3557E-3,100,0.5
-72.68623059358394,19.3613607945111,3.3557E-3,100,0.5
-72.67789172557617,19.3613607945111,3.3557E-3,100,0.5
-72.6695528575684,19.3613607945111,3.3557E-3,100,0.5
-72.66121398956065,19.3613607945111,3.3557E-3,100,0.5
-72.65287512155288,19.3613607945111,3.3557E-3,100,0.5
-72.64453625354511,19.3613607945111,3.3557E-3,100,0.5
-72.63619738553734,19.3613607945111,3.3557E-3,100,0.5
-72.62785851752957,19.3613607945111,3.3557E-3,100,0.5
-72.61951964952182,19.3613607945111,3.3557E-3,100,0.5
-72.69456946159171,19.353021926503335,3.3557E-3,100,0.5
-72.68623059358394,19.353021926503335,3.3557E-3,100,0.5
-72.67789172557617,19.353021926503335,3.3557E-3,100,0.5
-72.6695528575684,19.353021926503335,3.3557E-3,100,0.5
-72.66121398956065,19.353021926503335,3.3557E-3,100,0.5
-72.65287512155288,19.353021926503335,3.3557E-3,100,0.5
-72.64453625354511,19.353021926503335,3.3557E-3,100,0.5
